Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Footnote,Measure Start Date,Measure End Date,Location
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,CLABSI: Lower Confidence Limit,HAI_1_CI_LOWER,No Different than National Benchmark,0.165,,1/1/2015,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,CLABSI: Upper Confidence Limit,HAI_1_CI_UPPER,No Different than National Benchmark,3.249,,1/1/2015,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,CLABSI: Number of Procedures,HAI_1_DOPC_DAYS,No Different than National Benchmark,1485,,1/1/2015,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,CLABSI: Predicted Cases,HAI_1_ELIGCASES,No Different than National Benchmark,2.034,,1/1/2015,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,CLABSI: Observed Cases,HAI_1_NUMERATOR,No Different than National Benchmark,2,,1/1/2015,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Central line-associated bloodstream infections (CLABSI) in ICUs and select wards,HAI_1_SIR,No Different than National Benchmark,0.983,,1/1/2015,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,CLABSI Lower Confidence Limit,HAI_1a_CI_LOWER,Worse than the National Benchmark,1.168,,7/1/2014,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,CLABSI Upper Confidence Limit,HAI_1a_CI_UPPER,Worse than the National Benchmark,7.068,,7/1/2014,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,CLABSI Central Line Days,HAI_1a_DOPC_DAYS,Worse than the National Benchmark,1045,,7/1/2014,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,CLABSI Predicted Cases,HAI_1a_ELIGCASES,Worse than the National Benchmark,1.568,,7/1/2014,6/30/2015,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
"
